,NOSE_TIP,PH_BULB,NERVE_RING,angle
230,"[562.3405762, 173.7854919]","[525.5145264, 167.7014313]","[486.0894775, 172.9367218]",-16.95
231,"[560.7062378, 168.396347]","[522.7796021, 176.6933289]","[482.0941162, 178.5389862]",9.74
232,"[559.892334, 164.5902557]","[524.9193115, 180.3694916]","[485.203949, 182.9157867]",20.62
233,"[556.0288086, 152.7951202]","[529.8974609, 177.8126984]","[492.8028564, 188.1168823]",28.23
234,"[547.4884644, 141.3968964]","[532.8748169, 173.4221191]","[497.7814026, 189.6618805]",40.64
235,"[540.2324829, 133.7858429]","[530.7421265, 167.0422211]","[500.7661133, 191.5161896]",34.84
236,"[529.7611694, 125.9984589]","[528.1688843, 164.2269287]","[508.2107849, 189.3610077]",36.07
237,"[522.1611938, 106.4561462]","[514.944519, 144.4933777]","[504.010437, 180.8462524]",6.0
238,"[520.3857422, 104.6959534]","[508.1815491, 139.2556152]","[495.2041321, 178.7583771]",-1.26
239,"[518.5443115, 102.0019073]","[505.8016357, 135.6187897]","[489.1036987, 178.5212555]",0.51
240,"[512.9375, 101.3901291]","[500.3001404, 132.3857727]","[482.796814, 174.0230103]",0.62
241,"[507.5375977, 100.8375854]","[498.3475037, 130.6107941]","[478.7445374, 172.4918671]",7.93
242,"[506.678894, 102.3469086]","[491.1539001, 134.0158081]","[471.6690369, 172.8333435]",0.54
243,"[516.862793, 111.1244736]","[488.5391846, 131.5253448]","[470.5397949, 164.1101532]",-25.32
244,"[527.1930542, 119.5344543]","[492.5624695, 128.7406769]","[469.0911865, 155.2138214]",-33.55
245,"[532.3587036, 137.0247803]","[505.1300049, 131.4989929]","[479.1166992, 136.6868286]",-22.75
246,"[537.161377, 147.0468292]","[509.3180542, 136.7284088]","[481.4815063, 136.227005]",-19.3
247,"[540.4945068, 156.3754425]","[516.53479, 143.4822083]","[484.5441589, 139.4381104]",-21.08
248,"[537.7084961, 172.9210052]","[516.9022217, 152.1209717]","[486.0603943, 142.4219971]",-27.53
249,"[549.710144, 176.8997192]","[523.322998, 164.0903473]","[490.7801514, 147.4687805]",1.16
250,"[555.5376587, 184.4625244]","[527.0873413, 171.3288269]","[491.8762207, 154.8953552]",0.24
251,"[548.5510254, 200.7271881]","[523.6347656, 175.6468201]","[489.0540466, 159.3243408]",-19.92
252,"[554.03125, 205.812088]","[526.3206787, 187.2886047]","[494.3060303, 165.4141846]",0.58
253,"[559.3037109, 208.8371429]","[524.8272705, 195.5565186]","[493.7353516, 172.1283875]",15.93
254,"[559.3745728, 213.1046143]","[524.6550293, 202.656723]","[494.2544556, 180.4333191]",19.42
255,"[561.8650513, 212.230072]","[523.3894043, 212.2870941]","[491.0252686, 188.9467621]",35.88
256,"[563.7501221, 211.5440063]","[524.8657837, 215.7176971]","[494.3337402, 198.002182]",36.25
257,"[563.8735962, 203.5861359]","[531.0738525, 217.9519501]","[497.8067322, 207.1594543]",41.63
258,"[561.0765381, 193.7312164]","[533.772522, 216.5071259]","[502.5662537, 215.0657196]",42.48
259,"[565.7268066, 192.0843658]","[532.0709839, 214.0287628]","[496.2860413, 216.8452148]",28.61
260,"[574.4622803, 198.736557]","[533.1107178, 212.1924286]","[497.4354248, 219.2005005]",6.91
261,"[572.2684326, 190.4861298]","[539.9212646, 211.5652771]","[494.0686646, 221.9389191]",20.34
262,"[566.9490356, 186.4566193]","[532.8169556, 212.1175842]","[495.6358032, 224.482666]",18.54
263,"[565.8435669, 187.0595551]","[531.6206665, 210.0257874]","[489.559906, 226.1586456]",12.88
264,"[568.4259033, 192.0904541]","[529.3519287, 205.6477966]","[486.3405762, 226.8097382]",-7.06
